id,city,date,high_temp,low_temp,detail_weather,humidity
191,Sendai,今晚7/24,23.33,,一至兩場短時陣雨,55.0
192,Sendai,周四7/25,31.11,24.44,雲量增加，局部多雲,6.0
193,Sendai,周五7/26,32.78,23.89,幾場雷暴，局部地區有雷暴,88.0
194,Sendai,周六7/27,27.22,22.78,零星有雨和雷暴，多雲,60.0
195,Sendai,周日7/28,27.22,22.78,局部地區有雷暴，多雲,40.0
196,Sendai,周一7/29,23.33,18.89,幾場陣雨，多雲,59.0
197,Sendai,周二7/30,23.89,23.33,少量降雨，幾場陣雨,55.0
198,Sendai,周三7/31,31.11,24.44,幾場陣雨和雷暴，幾場陣雨,70.0
199,Sendai,周四8/1,31.67,26.11,局部晴朗，晴朗,25.0
200,Sendai,周五8/2,28.33,21.67,幾場陣雨和雷暴，局部多雲轉多雲,60.0
